serial_no,race,education,income,gender,age
0006317,47,11,079000,1,48
0006317,47,13,019800,2,37
0006317,47,00,,2,00
0006317,47,00,,1,00
0006342,47,01,000000,2,74
0006350,47,08,000000,2,32
0006350,47,10,045000,1,33
0006350,47,01,,1,04
0006350,47,00,,2,00
0006386,47,09,000000,1,57
0006386,47,09,000000,2,63
0006394,47,09,045000,1,34
0006394,47,13,035000,2,31
0006448,47,12,000000,1,80
0006448,47,06,000000,2,71
0006470,47,13,110000,1,56
0006625,47,14,045000,1,33
0006625,47,13,000000,2,35
0006625,47,01,,1,05
0006625,47,01,,2,04
0006625,47,00,,2,00
0006649,47,09,042000,2,41
0006673,01,04,000000,2,63
0006784,47,09,000000,1,35
0006784,47,11,052000,2,32
0006784,47,02,,1,04
0006784,47,00,,2,00
0006791,47,13,000000,1,38
0006874,47,05,000000,2,70
0006874,47,10,000000,2,54
0007038,47,11,036100,1,31
0007038,47,13,036500,2,28
0007118,47,03,030000,1,52
0007133,47,11,120000,2,74
0007224,47,12,040000,1,39
0007342,47,09,003600,1,83
0007374,47,11,038500,1,49
0007374,47,11,033300,2,47
0007374,47,09,001700,2,22
0007374,47,13,022100,1,22
0007390,47,15,000000,1,60
0007390,47,09,005000,2,71
0007490,37,04,000000,2,79
0007626,37,10,035000,1,30
0007626,37,10,008000,2,23
0007639,47,04,000000,2,82
0007689,47,14,342000,1,61
0007689,47,14,000000,2,44
0007689,47,02,,2,06
0007689,47,02,,2,04
0007689,47,03,,1,10
0007849,47,05,005000,2,74
0007882,47,09,014200,2,61
0007947,47,13,020800,1,67
0007947,47,13,031700,2,54
0007947,47,07,004700,1,19
0008014,47,07,021500,1,41
0008014,47,06,020000,2,37
0008014,47,04,004200,1,16
0008014,47,04,000000,2,15
0008014,47,00,,2,02
0008168,47,04,041300,1,55
0008168,47,15,051000,2,58
0008226,47,09,000000,2,34
0008226,37,04,000000,2,67
0008226,47,01,017700,2,60
0008277,47,10,000000,2,72
0008460,10,14,060000,1,60
0008460,15,13,000000,2,33
0008460,10,02,,1,06
0008460,10,01,,2,03
0008555,47,09,000000,1,47
0008555,47,09,023900,2,46
0008555,47,11,023000,2,21
0008555,47,09,002600,2,78
0008597,37,10,043000,2,39
0008597,37,09,015000,2,22
0008597,37,03,,1,11
0008597,37,02,,2,06
0008672,47,09,000000,1,48
0008672,47,12,000000,2,48
0008672,47,13,020100,1,24
0008713,01,09,012400,1,50
0008713,01,04,000000,1,15
0008713,01,01,001200,2,44
0008713,01,02,,2,10
0008713,01,09,000000,2,40
0008741,47,11,000000,2,71
0008880,47,14,115000,1,41
0008880,47,11,000000,2,33
0008880,47,01,,1,04
0008880,47,00,,1,02
