serial_no,race,education,income,gender,age
0004347,47,02,,1,08
0004347,47,02,,1,06
0004370,47,13,043000,1,54
0004370,47,09,021000,2,41
0004399,47,11,055000,1,55
0004399,47,10,020000,2,55
0004399,47,10,035000,1,27
0004436,47,14,005600,1,67
0004436,47,09,005300,2,58
0004436,47,11,009300,2,22
0004734,47,13,000000,2,46
0004734,47,13,000000,1,47
0004807,47,09,047100,1,43
0004807,47,13,016500,2,37
0004807,47,02,,1,09
0004807,47,02,,1,06
0004814,47,13,030000,1,30
0004814,47,13,032000,2,32
0004828,47,11,008000,1,60
0004828,47,09,012000,2,52
0004925,47,16,070000,1,50
0004925,47,16,076000,2,45
0004925,47,02,,1,06
0004925,47,01,,1,03
0004968,47,09,025100,1,61
0004968,47,09,000000,2,60
0004979,47,07,066000,1,49
0004979,47,06,000000,2,46
0004979,47,09,023000,1,20
0005094,47,13,030000,2,30
0005094,47,09,030000,1,33
0005156,47,11,034000,1,22
0005206,47,09,026900,1,46
0005303,47,13,069000,1,38
0005303,47,13,000000,2,38
0005303,68,02,,1,06
0005303,68,01,,2,05
0005303,68,01,,2,03
0005304,47,15,000000,1,65
0005304,47,13,002000,2,56
0005304,47,13,005000,1,22
0005420,47,09,047500,1,56
0005420,47,09,024000,2,63
0005431,47,11,035100,1,22
0005431,47,07,018500,2,19
0005675,47,13,038000,2,33
0005675,15,14,090000,1,33
0005675,59,01,,1,06
0005675,59,01,,1,04
0005675,59,00,,1,02
0005756,47,09,000000,1,57
0005756,47,13,069000,2,58
0005756,47,11,015200,2,28
0005756,47,11,027700,1,25
0005756,47,10,035400,1,23
0005762,47,07,023000,1,49
0005762,47,07,016000,2,48
0005762,47,09,014000,1,27
0005784,47,09,040000,2,40
0005801,47,10,003600,1,19
0005807,37,13,038000,1,45
0005807,37,03,030000,2,43
0005807,37,09,027000,1,26
0005807,37,07,000000,1,17
0005807,37,05,000900,1,16
0005807,37,02,,2,10
0005830,47,12,000000,2,62
0005974,47,10,000000,2,79
0005974,47,07,009100,1,18
0006011,47,09,034200,1,43
0006011,47,09,019200,2,40
0006011,47,11,003900,2,20
0006011,47,08,005000,1,18
0006011,47,05,000000,2,15
0006243,37,15,160000,2,49
0006243,37,04,,1,14
0006273,47,09,052000,1,29
0006298,47,04,000000,2,72
0006299,47,04,000000,1,57
0006317,47,09,000000,1,38
0006317,47,09,000000,2,37
0006317,47,06,000000,2,16
0006317,47,04,000000,1,15
0006342,47,12,040000,1,35
0006342,47,10,016000,2,32
0006342,47,02,,1,09
0006342,47,02,,2,06
0006342,47,01,,1,03
0006386,47,09,015000,1,63
0006386,47,09,000000,2,63
0006386,47,08,024000,1,40
0006386,47,05,000000,1,15
0006394,47,08,000000,1,26
0006394,47,09,000000,2,24
0006394,47,02,,2,05
0006394,47,00,,2,01
0006448,47,14,075000,2,45
0006448,47,16,060000,1,45
0006448,47,02,,1,11
0006448,47,02,,2,06
0006470,47,09,053000,1,42
0006470,47,12,033000,2,40
0006470,47,02,,2,08
0006470,47,02,,1,06
0006470,47,01,,2,03
0006518,47,09,000000,2,93
0006535,47,11,025000,1,47
0006535,47,09,025000,1,29
0006535,47,09,025000,1,22
0006555,37,11,027000,1,24
0006566,47,09,009000,1,67
0006566,47,08,009000,2,63
0006625,47,12,000000,2,87
0006649,47,14,000000,2,45
0006663,47,11,050000,1,51
0006663,47,09,024000,2,55
0006673,47,12,000000,1,47
0006673,47,12,014500,2,42
0006758,47,09,000000,1,72
0006758,47,13,056000,2,53
0006758,47,06,003000,1,17
0006784,47,06,019500,1,63
0006784,47,10,000000,2,51
0006784,47,09,003000,2,55
0006874,47,12,016000,2,46
0006874,47,12,050000,1,49
0006995,47,11,000000,1,34
0006995,47,11,015000,2,47
0007038,47,09,000000,1,35
0007038,47,12,011900,2,33
0007038,47,02,,2,10
0007038,47,02,,2,08
0007038,47,02,,2,06
0007038,47,00,,1,02
0007045,47,15,010000,1,48
0007045,47,13,000000,2,47
0007045,47,07,000000,2,18
0007045,47,05,000000,1,16
0007045,47,05,000000,2,16
0007095,47,09,018400,1,49
0007095,47,09,008100,2,20
0007095,47,00,,1,00
0007118,47,10,002500,2,19
0007133,47,09,000000,2,66
0007133,47,08,005400,1,35
0007216,47,09,000000,1,60
0007216,47,11,000000,2,58
0007224,47,10,032000,2,42
0007224,47,09,000000,1,39
0007224,47,04,000000,1,15
0007224,47,02,,1,09
0007224,47,01,,1,04
0007286,47,12,064000,1,42
0007286,47,11,011000,2,41
0007286,47,04,000000,2,15
0007286,47,03,,1,11
0007342,47,13,027400,2,40
0007342,47,11,010000,1,20
0007342,47,07,007800,1,18
0007354,47,11,016600,1,74
0007354,47,09,000000,2,71
0007374,47,09,014000,1,41
0007390,47,09,008000,2,64
0007415,47,10,000000,2,45
0007435,47,09,000000,1,56
0007448,47,11,000000,2,84
0007450,47,11,038000,1,29
0007450,47,11,003600,2,23
0007450,47,00,,1,01
0007490,47,13,018000,2,24
0007538,47,13,036000,1,32
0007538,47,13,032000,2,32
0007538,47,00,,1,01
0007626,47,12,012500,1,29
0007626,47,13,055000,2,29
0007639,47,09,110000,1,41
0007639,47,12,020900,2,41
0007639,47,06,000990,1,16
0007639,47,03,,2,12
0007689,47,06,000000,1,71
0007694,47,15,078000,1,53
0007694,47,12,030900,2,53
0007694,47,13,012000,2,23
0007714,47,13,007900,2,47
0007714,47,04,,2,14
0007714,47,02,,1,10
0007837,47,06,027500,1,56
0007837,47,09,009000,2,55
0007845,47,13,073000,1,45
0007845,47,13,000000,2,42
0007845,47,06,002000,1,17
0007845,47,04,,1,14
0007845,47,03,,2,12
0007882,47,09,015600,1,35
0007961,47,11,023700,2,44
0007961,47,05,002500,2,16
0008014,47,09,000000,1,34
0008014,47,11,022000,2,33
0008014,47,02,,1,10
0008014,47,02,,2,08
0008168,47,10,041000,1,33
0008208,47,09,045000,1,43
0008208,47,09,000000,2,42
0008208,47,04,,2,13
0008226,47,09,016600,1,33
0008226,47,09,013400,2,46
0008226,47,01,,1,09
0008250,47,09,000000,2,50
0008277,47,11,000000,2,21
0008277,47,13,012500,2,23
0008344,47,05,050000,1,56
0008344,47,09,008000,2,54
0008460,47,09,000000,1,79
0008460,47,11,000000,2,76
0008476,47,09,075000,1,52
0008476,47,09,000000,2,53
0008476,47,07,000500,1,18
0008476,47,06,000030,1,17
0008476,47,05,000000,1,15
0008476,47,02,,1,09
0008531,47,09,042000,1,26
0008597,47,09,008600,2,52
0008597,47,09,051000,1,53
0008597,47,12,025000,1,24
0008670,47,09,003500,1,53
0008670,47,09,024000,2,46
0008670,47,11,006500,2,21
0008672,47,09,040000,1,37
0008672,47,09,023000,2,35
0008672,47,01,,1,04
0008713,37,10,024000,2,24
0008713,37,02,,2,03
0008713,37,11,000000,1,26
0008741,47,08,025000,1,45
0008741,47,07,000400,2,17
0008880,47,12,065000,1,39
0008880,47,13,074000,2,36
0008886,47,09,034000,1,25
0008886,47,00,,1,01
0008886,47,00,,1,00
0008886,47,12,014000,2,28
0008886,47,02,,1,07
0008899,47,09,026400,2,28
0008899,47,03,,2,12
0008899,47,02,,1,09
0008903,47,04,014900,1,32
0008903,47,04,000000,2,35
0008903,47,03,,2,11
0008903,47,03,,2,11
0008903,47,02,,1,08
0008903,47,01,,1,06
0008903,47,01,,2,04
0008989,47,09,026000,1,37
0008989,47,11,031000,2,37
0008989,47,06,003000,2,16
0009008,47,11,002100,2,21
0009010,47,12,000000,2,37
0009010,47,05,,2,14
0009010,47,01,,1,04
0009030,01,14,043000,2,49
0009030,01,15,021000,1,51
0009030,01,15,001000,2,27
0009030,01,09,000500,2,18
0009052,47,09,001900,1,63
0009052,47,10,006500,2,65
0009060,47,03,021000,1,27
0009060,47,13,025000,2,24
0009098,47,09,000000,2,82
0009098,47,13,014000,1,46
0009098,47,11,014000,1,41
0009103,47,11,032100,2,41
0009124,32,11,036000,1,50
0009124,66,07,030000,2,46
0009124,66,07,000230,1,20
0009150,47,09,023600,1,32
0009150,47,12,028200,2,30
0009171,47,09,020000,2,59
0009250,47,09,000000,2,65
0009272,47,13,025500,1,38
0009272,47,13,017600,2,34
0009272,47,00,,2,01
0009272,47,00,,2,00
0009302,47,12,030000,1,31
0009302,47,11,022000,2,28
0009302,47,02,,1,06
0009302,47,08,004100,1,20
0009390,47,10,002300,2,59
0009390,47,10,000000,1,70
0009415,47,09,026700,1,29
0009415,47,06,015300,2,32
0009415,47,02,,1,05
0009415,47,01,,1,03
0009441,01,09,016000,1,30
0009441,01,01,000000,2,30
0009441,01,02,,2,05
0009449,47,05,000000,1,87
0009457,47,13,000000,2,39
0009457,47,13,072000,1,35
0009457,47,00,,2,02
0009457,47,00,,2,00
0009584,47,11,035000,1,48
0009584,47,12,009000,2,45
0009584,47,06,000000,2,17
0009584,47,04,,2,14
0009584,47,02,,1,10
0009668,47,06,000000,2,72
0009692,47,13,047000,1,28
0009692,47,13,016000,2,28
0009692,47,00,,2,00
0009721,47,04,000000,2,88
0009801,47,11,000000,1,50
0009801,47,11,008500,2,47
0009805,47,12,034000,2,32
0009805,47,02,,2,11
0009805,47,02,,1,09
0009805,47,02,,2,08
0009805,47,00,,1,00
0009822,47,09,047000,1,42
