serial_no,race,education,income,gender,age
0011331,01,07,000000,1,18
0011331,01,05,,1,14
0011586,47,05,000000,2,92
0011779,47,09,015300,1,29
0011779,47,09,013000,2,26
0011779,47,01,,1,05
0011779,47,01,,1,08
0011936,47,09,021400,2,38
0011936,37,09,009000,1,39
0011998,47,08,040000,2,34
0011998,47,03,,2,13
0012200,47,06,005800,2,19
0012218,47,13,033300,1,39
0012276,47,09,011000,2,64
0012276,47,07,000000,2,41
0012276,47,01,,1,07
0012552,47,13,000000,1,42
0013374,37,04,000000,1,50
0013426,47,07,000000,1,78
0013426,47,06,000000,2,74
0013441,47,13,000000,1,56
0013441,47,13,008000,2,53
0013441,47,09,000000,2,85
0013448,47,09,038000,1,26
0013448,47,09,018000,2,27
0013448,47,01,,2,05
0013448,47,01,,1,03
0013685,47,09,000000,1,52
0013778,47,09,000000,2,77
0013868,37,09,009000,1,19
0014202,47,15,090000,1,53
0014719,32,11,012000,2,47
0014719,47,02,,1,03
0014976,47,11,000000,1,74
0014976,47,12,000000,2,63
0014995,47,09,045000,1,40
0014995,47,09,040000,2,40
0014995,47,08,005000,1,18
0014995,47,03,,1,12
0015384,47,11,000000,1,61
0015384,47,11,033000,2,61
0015405,47,11,000000,2,50
0015445,47,09,000000,1,63
0015445,47,06,000000,2,62
0015480,47,09,050000,1,43
0016090,47,11,025700,2,37
0016090,47,11,029800,1,39
0016090,47,05,000300,1,16
0016090,47,03,,1,10
0016090,47,02,,1,04
0016115,47,10,000000,2,65
0016190,47,11,027000,2,36
0016190,47,03,,2,10
0016190,47,02,,2,08
0016559,47,12,042000,1,43
0016559,47,11,005500,2,36
0016559,47,04,,2,13
0016559,47,02,,2,09
0016794,47,10,000000,2,63
0016795,47,10,023000,2,41
0016795,38,11,030000,1,41
0016795,38,04,000000,1,15
0016935,47,07,014500,2,57
0016935,47,03,023400,1,57
0017010,47,10,065000,1,32
0017010,47,11,012000,2,33
0017010,47,03,,2,12
0017010,47,02,,1,09
0017010,47,05,,2,14
0017022,47,10,016000,1,26
0017063,37,11,060000,1,52
0017063,37,12,032000,2,48
0017220,47,13,000000,1,64
0017220,47,10,000000,2,69
0017290,47,11,000000,2,57
0017616,47,14,100000,1,43
0017616,47,10,036000,2,39
0017616,47,09,001500,2,18
0017616,47,06,000000,2,16
0017616,47,04,,2,13
0017616,47,03,,2,10
0017625,47,16,030000,1,61
0017625,47,09,000000,2,58
0017734,01,09,017000,1,30
0017734,01,05,012000,2,29
0017734,01,03,,2,09
0017734,01,01,,1,04
0017734,01,00,,1,01
0017792,47,10,012000,1,30
0017792,47,09,009800,2,26
0017825,47,05,000000,2,83
0018132,15,14,049000,1,40
0018132,15,13,000000,2,79
0018132,15,09,009600,2,35
0018223,47,11,051000,2,46
0018644,47,03,000000,1,83
0018655,47,04,000000,1,70
0018757,37,09,024600,2,42
0018757,37,13,040000,1,49
0018783,47,06,000000,2,63
0018848,16,09,009000,2,51
0018848,15,03,,1,11
0018848,16,04,005000,2,19
0018848,15,09,000000,1,50
0018848,15,11,000000,2,82
0019700,47,13,036000,1,52
0020032,47,14,000000,1,63
