serial_no,race,education,income,gender,age
0003132,47,11,023200,2,58
0003142,48,09,007000,2,40
0003142,48,09,022000,1,40
0003142,48,03,,1,11
0003143,47,09,018000,2,59
0003286,47,12,058000,1,52
0003286,47,09,010700,2,49
0003286,47,09,014000,2,19
0003286,47,09,003700,2,18
0003286,47,09,000000,2,81
0003308,47,16,016500,1,86
0003319,47,04,000000,2,19
0003352,47,10,032000,2,45
0003352,47,06,002700,1,17
0003352,47,03,,1,12
0003352,47,09,000000,1,71
0003352,47,13,000000,2,71
0003419,47,08,023900,2,52
0003461,47,05,000000,2,22
0003461,47,02,,2,04
0003461,47,00,,1,00
0003461,47,07,017000,1,22
0003467,37,08,025000,1,62
0003467,37,08,004000,1,32
0003513,47,01,000000,1,60
0003585,47,13,021100,2,31
0003585,47,12,015500,1,29
0003636,47,16,310000,1,39
0003636,47,05,016000,2,36
0003636,47,02,,1,07
0003636,47,00,,2,01
0003637,37,11,022000,2,63
0003640,47,09,021000,1,37
0003640,47,08,008900,2,34
0003677,47,13,059000,1,53
0003677,47,08,006300,2,51
0003682,47,07,000000,2,80
0003710,47,09,075000,1,64
0003710,47,10,012000,2,69
0003710,47,13,032000,1,30
0003776,47,09,034000,1,30
0003776,47,13,035000,2,29
0003776,47,00,,2,01
0003847,47,12,040000,2,32
0003849,47,11,001000,2,19
0003929,47,09,015000,1,49
0003929,47,09,015000,2,50
0003929,47,09,015000,1,20
0003970,47,13,000000,2,70
0004007,47,13,000000,1,87
0004007,47,13,000000,2,79
0004041,47,16,000000,1,69
0004041,47,11,046000,2,62
0004041,47,11,045000,2,61
0004110,47,16,310000,1,65
0004110,47,14,091000,2,64
0004122,47,13,076000,1,42
0004145,47,10,030000,1,52
0004168,47,14,016800,1,33
0004168,47,15,025000,2,29
0004248,47,16,144000,1,42
0004248,47,14,025400,2,42
0004248,47,02,,2,11
0004248,47,02,,1,08
0004347,47,13,083000,2,22
0004347,47,13,007000,2,23
0004347,47,13,008000,2,22
0004370,47,10,000000,2,47
0004376,47,12,000000,1,76
0004376,47,11,000000,2,72
0004376,47,13,026200,2,41
0004399,47,14,310000,2,36
0004399,47,16,050000,1,35
0004399,47,02,,2,06
0004399,47,02,,1,03
0004436,47,10,040000,1,64
0004436,47,09,000000,2,66
0004674,47,09,010000,2,54
0004734,20,14,060000,2,53
0004734,20,10,000000,1,31
0004734,20,14,040000,1,30
0004734,20,13,016300,2,21
0004734,20,04,,1,13
0004807,48,07,024000,2,59
0004814,47,11,054000,1,50
0004828,47,13,043000,1,29
0004828,47,13,050000,2,30
0004925,47,02,012000,2,49
0004925,47,02,020000,1,49
0004925,47,08,016000,1,19
0004947,47,09,000000,1,67
0004947,47,10,000000,2,67
0004968,47,09,000000,1,61
0004968,47,09,015000,2,57
0004968,47,12,020000,1,29
