serial_no,race,education,income,gender,age
0004979,37,04,,2,13
0004979,37,02,,1,03
0005094,47,09,000000,1,53
0005094,47,04,000000,2,60
0005115,37,08,008900,2,37
0005115,37,07,000000,2,18
0005115,37,04,000000,2,57
0005156,47,01,000000,1,55
0005206,47,09,021000,1,28
0005206,47,10,028600,2,25
0005303,37,11,002000,2,21
0005304,47,01,000000,2,75
0005420,37,10,025000,1,31
0005420,37,12,002100,2,29
0005420,37,02,,2,07
0005420,37,02,,2,05
0005420,37,00,,2,02
0005675,47,09,000000,2,34
0005675,47,09,021100,1,38
0005675,47,06,000000,2,16
0005675,47,05,,2,14
0005675,47,09,003000,1,18
0005688,37,13,035000,1,44
0005756,37,03,000000,1,77
0005756,37,05,017000,2,76
0005756,37,04,000000,2,43
0005762,37,15,035000,1,29
0005762,37,14,055000,2,29
0005784,47,09,030000,1,23
0005784,47,13,001700,2,22
0005801,47,13,000000,1,41
0005801,47,02,,2,09
0005807,47,11,005200,1,64
0005807,47,09,000000,2,28
0005820,47,14,035000,2,35
0005820,47,02,,2,11
0005820,47,02,,1,08
0005820,47,02,,1,08
0005823,47,09,000000,2,58
0005830,47,11,007000,1,65
0005830,47,11,019000,2,63
0005974,47,11,078000,1,60
0005974,47,10,004000,2,46
0006011,37,03,000000,2,75
0006192,37,03,000550,1,66
0006243,47,11,057000,1,56
0006243,47,09,000000,2,54
0006298,37,06,000000,2,36
0006317,47,10,000000,1,45
0006317,47,10,000000,2,38
0006317,47,06,000000,2,16
0006317,47,04,,2,13
0006317,47,09,001400,1,80
0006342,47,09,040000,1,47
0006342,47,05,000000,1,16
0006342,47,01,,2,07
0006342,47,10,005400,2,42
0006350,47,13,050000,1,70
0006350,47,09,000000,2,68
0006386,47,10,000000,2,67
0006394,47,06,021000,1,24
0006394,47,09,001500,2,26
0006394,47,01,,1,05
0006394,47,00,,1,00
0006448,37,06,032000,1,41
0006470,37,07,000000,2,50
0006470,37,09,000000,2,31
0006470,37,08,000000,2,27
0006470,37,01,,2,04
0006470,37,01,,1,03
0006518,47,10,031500,1,35
0006518,47,12,024800,2,30
0006518,47,02,,1,08
0006518,47,01,,1,04
0006535,47,09,050000,1,53
0006535,47,09,011000,2,51
0006535,47,09,011300,1,23
0006535,47,05,015800,1,21
0006555,47,04,000000,1,60
0006566,47,12,000000,2,65
0006625,47,09,000000,1,63
0006625,47,10,000000,2,61
0006649,47,11,000000,2,53
0006649,47,09,013300,1,23
0006784,47,14,033000,1,46
0006791,47,04,080000,1,48
0006791,47,06,017300,2,50
0006791,47,09,039500,1,20
0006874,37,09,012000,2,53
0006874,37,08,000000,1,22
0007038,47,09,021000,1,35
0007038,47,07,016000,2,32
0007038,47,00,,2,02
0007118,47,09,046100,1,44
0007118,47,09,005000,2,45
0007118,47,09,008200,1,19
0007133,37,04,000000,1,49
0007133,37,09,010800,2,34
0007133,37,02,,1,07
0007216,47,09,000000,1,65
0007216,47,09,000000,2,67
0007224,37,13,000000,2,80
0007286,37,07,000000,1,76
0007286,37,08,000000,2,72
0007374,47,09,000000,2,19
0007390,47,11,000000,2,43
0007415,47,11,033000,1,32
0007415,47,12,021000,2,30
0007415,47,02,,1,06
0007415,47,01,,2,04
0007450,37,09,051000,1,39
0007450,37,09,000000,2,35
0007450,37,02,,1,06
0007450,37,06,000000,1,17
0007450,37,03,,1,13
