serial_no,race,education,income,gender,age
0007133,37,03,,1,11
0007133,37,02,,2,09
0007224,37,04,000000,1,83
0007224,37,09,000000,2,75
0007224,37,09,010700,1,39
0007224,37,07,000640,1,16
0007342,37,01,007600,1,67
0007342,37,06,000000,2,63
0007342,37,07,000000,1,41
0007374,47,11,050000,1,32
0007374,47,09,002500,2,33
0007374,47,03,,2,11
0007374,47,02,,2,10
0007374,47,04,,1,13
0007390,37,09,026500,2,27
0007390,37,02,,1,05
0007390,37,02,,2,04
0007415,47,13,020000,1,47
0007415,47,11,016000,2,49
0007490,47,04,030000,1,58
0007626,47,15,070000,1,53
0007626,47,13,011500,2,52
0007689,47,11,000000,1,61
0007689,47,09,000000,2,62
0007849,47,15,007000,2,22
0007882,37,09,007300,2,23
0007882,37,01,,2,03
0007882,37,00,,1,00
0008014,47,09,000000,1,78
0008014,47,14,070000,1,44
0008226,47,11,329000,1,70
0008226,47,12,025000,2,50
0008277,47,11,000000,1,63
0008277,47,09,000000,2,64
0008460,47,03,000000,2,80
0008555,47,09,002500,2,21
0008555,47,02,,1,04
0008555,47,00,,2,00
0008597,47,09,000000,2,63
0008713,37,10,008400,2,62
0008713,37,04,000000,2,15
0008741,47,13,000000,1,71
0008741,47,15,000000,2,70
0008886,37,07,000000,2,78
0008899,47,11,013700,1,41
0008899,47,12,018700,2,42
0008899,47,06,000000,1,16
0008899,47,03,,1,09
0008989,47,11,000000,1,67
0009008,47,09,018400,1,37
0009098,37,12,026000,1,36
0009124,47,11,017000,2,50
0009150,47,14,079000,1,42
0009150,47,13,019800,2,39
0009150,47,02,,1,10
0009150,47,02,,2,08
0009302,47,09,000000,2,82
0009390,47,01,000000,2,62
0009390,47,01,000000,1,40
0009415,37,03,000000,1,77
0009415,37,14,000000,2,70
0009668,37,09,006700,1,35
0009692,47,09,057000,1,42
0009692,47,09,000000,2,42
0009692,47,11,016500,1,20
0009801,47,11,042000,1,35
0009801,47,13,000000,2,35
0009801,47,02,,1,09
0009801,47,02,,2,07
0009805,47,09,023000,2,27
0009805,47,14,045000,1,36
0009822,37,09,000000,2,73
0009822,37,08,000000,2,72
0009822,37,05,000000,2,76
0009863,47,13,018000,2,63
0009907,47,04,015000,1,56
0009907,47,07,000000,2,81
0010071,37,06,000000,2,44
0010071,37,11,000300,2,20
0010206,37,10,040000,2,61
0010278,37,03,000000,2,64
0010278,37,06,000000,1,40
0010278,37,03,000000,1,39
0010278,37,04,000000,1,38
0010278,37,04,000000,1,86
0010278,37,05,000000,2,23
0010278,37,04,000000,2,21
0010278,37,00,,1,01
0010547,37,08,000000,2,25
0010547,37,02,,2,11
0010547,37,02,,1,07
0010547,37,00,,1,02
0010547,37,00,,2,01
0010609,47,05,007000,1,37
0010609,47,09,005100,2,45
0010640,47,09,000000,2,64
0010640,47,09,000000,2,68
0010890,47,12,000000,1,28
0010890,47,01,015000,2,20
0010893,47,10,052000,1,58
0010893,47,10,000000,2,55
0010900,37,07,000000,1,27
0011068,47,09,040000,1,40
0011068,47,09,012000,2,36
0011068,47,02,,2,05
0011068,47,00,,2,00
0011224,37,09,023000,2,43
0011224,37,08,007800,2,17
0011224,37,08,024000,1,25
0011331,47,11,000000,1,30
0011586,47,09,034000,1,40
0011586,47,13,007400,2,47
0011779,37,09,031400,1,45
0011779,37,10,013500,2,45
0011779,37,11,022000,1,22
0011779,37,05,000000,2,16
0011779,37,04,000000,1,93
0011912,47,09,000000,1,65
0011912,47,06,000000,2,77
0011936,47,13,060000,1,34
0011936,47,13,000000,2,29
0011936,47,01,,2,03
0011936,47,00,,1,02
0011998,47,08,019000,2,26
0011998,47,02,,2,05
0011998,47,00,,2,02
0012065,37,09,000000,1,37
0012200,47,09,059000,1,54
0012200,47,09,008000,2,53
0012200,47,09,034000,1,31
0012218,37,07,000000,2,65
0012218,37,09,022000,1,34
0012276,37,09,000000,1,39
0012276,37,09,000000,2,31
0012370,47,06,024000,1,22
0012370,47,06,005000,2,18
0012370,47,00,,1,01
0012552,37,01,000000,1,65
0012552,37,03,000000,1,65
0012635,47,11,015200,1,26
0012988,47,10,000000,1,46
0012988,47,09,000000,2,37
0012988,47,04,,2,13
0012988,47,09,000000,2,19
0013145,37,09,030000,1,27
0013374,47,09,000000,1,71
0013426,47,14,053000,1,56
0013426,47,09,000000,2,54
0013448,37,07,012000,2,61
0013448,37,01,000000,1,67
0013577,37,13,024000,1,23
0013685,47,09,034000,2,50
0013685,47,09,000000,1,56
0013763,47,14,000000,2,87
0013778,47,13,035000,2,41
0013778,47,11,034000,2,43
0013868,37,05,000000,2,60
0013949,47,11,010500,1,22
0013992,37,04,000000,2,69
0014089,47,13,049600,1,22
0014202,37,02,000000,1,69
0014588,47,08,000000,1,80
0014588,47,07,000000,2,63
0014693,47,09,032000,1,63
0014693,47,11,000000,2,59
0014693,47,03,,1,12
0014693,47,02,,1,10
0014719,47,16,000000,1,70
0014821,37,01,000000,2,77
0014976,37,09,000000,2,45
0014976,37,02,,1,07
0014976,37,02,,1,06
0014995,47,12,027000,1,30
0014995,47,11,014000,2,25
0014995,47,00,,2,02
0015298,37,08,044400,2,52
0015384,47,06,025000,1,23
0015384,47,10,000000,2,21
0015384,47,00,,2,02
0015394,37,12,000000,2,40
0015394,37,07,000900,1,19
0015394,37,05,000000,2,15
0015394,37,04,,1,14
0015405,47,11,040000,1,40
0015405,47,02,,1,11
0015405,47,03,,1,11
0015443,37,10,045000,1,56
0015445,47,10,042000,1,40
0015445,47,12,026000,2,37
0015445,47,04,000000,1,15
0015445,47,02,,2,10
0015480,37,03,000000,2,93
0015687,47,09,040000,1,20
0016090,47,12,042000,1,66
0016090,47,09,000000,2,74
0016115,47,11,001600,2,20
0016190,47,13,038000,1,27
0016248,47,11,020000,1,37
0016248,47,09,012000,2,46
0016461,47,09,034000,1,58
0016461,47,09,025200,2,57
0016535,47,12,104000,1,43
0016559,47,05,008000,2,26
0016559,37,02,,1,10
0016559,37,02,,2,08
0016559,37,02,,1,07
0016559,37,00,,2,00
0016631,47,13,070000,1,50
0016631,47,11,013400,2,48
